make,size,unit,drive,diameter,height
Maximum,15/16”,imperial,1/2”,34,38
Maximum,1”,imperial,1/2”,36,40
Maximum,1-1/16”,imperial,1/2”,38,42
Maximum,1-1/8”,imperial,1/2”,38,42
Maximum,11/16” deep,imperial,1/2”,26,81
Maximum,3/4” deep,imperial,1/2”,28,81
Maximum,13/16” deep,imperial,1/2”,30,81
Maximum,7/8” deep,imperial,1/2”,32,81
Maximum,15/16” deep,imperial,1/2”,34,81
Maximum,1” deep,imperial,1/2”,36,81
Maximum,universal joint,N/A,1/2”,31,sketch
Maximum,bit holder,N/A,1/2”,22,38
